Fecha	TotalDia
2020-01-27	$57,741.75
2020-02-20	$117,057.72
2020-03-04	$92,378.42
2020-04-08	$90,634.38
2020-05-28	$89,738.64
2020-06-03	$84,520.26
2020-07-13	$100,506.78
2020-08-07	$103,591.91
2020-09-23	$129,653.23
2020-10-21	$79,919.39
2020-11-10	$120,685.30
2020-12-29	$127,644.60
2021-01-29	$116,489.99
2021-02-01	$111,830.05
2021-03-19	$143,641.12
2021-04-15	$115,238.07
2021-05-24	$85,010.92
2021-06-25	$121,271.91
2021-07-01	$181,485.38
2021-08-04	$93,957.28
2021-09-21	$87,096.74
2021-10-01	$91,495.16
2021-11-04	$105,916.41
2021-12-21	$126,437.95
2022-01-29	$135,863.14
2022-02-11	$90,737.17
2022-03-20	$122,623.98
2022-04-27	$96,916.51
2022-05-27	$93,606.60
2022-06-15	$86,142.01
2022-07-12	$124,853.29
2022-08-25	$96,812.33
2022-09-14	$98,876.96
2022-10-06	$110,009.99
2022-11-08	$104,444.90
2022-12-16	$147,180.81
2023-01-03	$143,726.99
2023-02-09	$128,034.91
2023-03-02	$134,874.17
2023-04-05	$147,779.47
2023-05-18	$250,803.31
2023-06-29	$184,012.38
2023-07-16	$130,865.42
2023-08-11	$128,066.70
2023-09-21	$152,681.91
2023-10-07	$154,602.22
2023-11-19	$136,522.60
2023-12-28	$196,311.69
2024-01-02	$170,535.90
2024-02-20	$243,622.70
2024-03-06	$331,883.50
2024-04-05	$303,544.90
2024-05-30	$168,461.85
2024-06-28	$315,779.23
2024-07-03	$161,776.35
2024-08-02	$172,237.50
2024-09-05	$254,786.09
2024-10-02	$343,235.71
2024-11-19	$218,630.20
2024-12-01	$228,660.70
